Specie,Total,Anthophila,New_Justine,DG,HS,LMDI,inat_25_04,iNaturalist,Spipoll
Andrena ovatula,45,12,0,2,15,3,7,6,0
Andrena pallitarsis,1,0,0,1,0,0,0,0,0
Andrena pandellei,139,72,3,3,3,9,44,5,0
Andrena paucisquama,8,0,0,7,0,0,0,1,0
Andrena pellucens,4,0,0,0,0,4,0,0,0
Andrena pilipes,167,15,0,3,50,12,65,22,0
Andrena polita,2,0,0,2,0,0,0,0,0
Andrena potentillae,6,0,0,2,0,0,4,0,0
Andrena praecox,132,0,0,3,0,10,88,31,0
Andrena propinqua,31,10,6,6,0,9,0,0,0
Andrena proxima,43,0,0,0,0,5,26,12,0
Andrena ranunculi,79,64,5,2,0,6,2,0,0
Andrena rhenana,13,0,0,8,0,5,0,0,0
Andrena rogenhoferi,12,0,0,0,0,0,11,1,0
Andrena rosae,175,0,53,2,3,13,86,18,0
Andrena ruficrus,15,0,0,0,0,0,12,3,0
Andrena rufula,2,0,0,2,0,0,0,0,0
Andrena sardoa,8,0,0,0,0,0,6,2,0
Andrena saxonica,7,0,0,1,0,6,0,0,0
Andrena schencki,16,1,0,0,0,4,9,2,0
Andrena semilaevis,4,0,3,1,0,0,0,0,0
Andrena similis,3,2,0,1,0,0,0,0,0
Andrena simillima,2,0,0,2,0,0,0,0,0
Andrena simontornyella,2,0,0,2,0,0,0,0,0
Andrena solenopalpa,2,0,0,2,0,0,0,0,0
Andrena strohmella,1,1,0,0,0,0,0,0,0
Andrena subopaca,6,6,0,0,0,0,0,0,0
Andrena suerinensis,1,0,0,1,0,0,0,0,0
Andrena symphyti,43,39,0,1,0,3,0,0,0
Andrena synadelpha,24,0,0,1,0,18,5,0,0
Andrena tarsata,10,0,0,2,0,0,8,0,0
Andrena tenuistriata,1,0,0,1,0,0,0,0,0
Andrena thomsonii,6,0,0,6,0,0,0,0,0
Andrena thoracica,376,26,1,6,2,47,242,52,0
Andrena tibialis,86,0,16,0,0,6,30,34,0
Andrena trimmerana,34,15,0,5,0,6,7,1,0
Andrena truncatilabris truncatilabris,2,0,0,2,0,0,0,0,0
Andrena tscheki,1,0,0,1,0,0,0,0,0
Andrena vaga,2316,33,16,2,0,39,1512,714,0
Andrena variabilis,100,28,0,4,0,12,20,36,0
Andrena varians,16,8,0,2,0,0,4,2,0
Andrena ventralis,276,7,10,1,0,14,111,133,0
Andrena ventricosa,2,0,0,2,0,0,0,0,0
Andrena vetula,4,0,0,0,0,4,0,0,0
Andrena villipes,4,0,0,3,1,0,0,0,0
Andrena viridescens,51,16,0,0,0,6,23,6,0
Andrena vulpecula,13,0,0,2,11,0,0,0,0
Andrena wilkella,2502,19,6,2,0,0,2457,18,0
Anthidiellum,18,0,0,0,0,18,0,0,0
Anthidiellum strigatum,723,115,0,4,0,31,448,125,0
Anthidium,13,0,0,0,13,0,0,0,0
Anthidium cingulatum,27,2,0,1,0,0,18,6,0
Anthidium diadema,16,0,0,0,0,13,2,1,0
Anthidium florentinum,3112,40,0,5,0,53,2366,648,0
Anthidium loti,172,19,0,2,3,15,98,35,0
Anthidium manicatum,16026,76,11,1,0,57,14653,1228,0
Anthidium montanum,4,0,0,0,0,0,1,3,0
Anthidium oblongatum,4270,41,0,1,0,24,4063,141,0
Anthidium punctatum,349,13,0,0,0,13,252,70,1
Anthidium septemspinosum,837,85,0,2,0,52,586,112,0
Anthidium taeniatum,3,0,0,0,0,2,1,0,0
Anthophora,70,0,0,0,0,70,0,0,0
Anthophora aestivalis,107,0,3,3,2,4,79,16,0
Anthophora affinis,6,0,0,6,0,0,0,0,0
Anthophora agama,3,0,0,0,0,3,0,0,0
Anthophora atriceps,6,0,0,3,0,3,0,0,0
Anthophora atroalba,21,0,0,2,0,2,16,1,0
Anthophora balneorum,1,0,0,0,0,0,0,1,0
Anthophora bimaculata,730,19,0,2,0,16,556,137,0
Anthophora canescens,33,0,0,0,0,0,29,4,0
Anthophora crassipes,29,0,0,0,0,7,21,1,0
Anthophora crinipes,75,0,0,0,0,0,60,15,0
Anthophora dispar,64,1,0,0,0,7,51,5,0
Anthophora femorata,19,0,0,1,0,10,5,3,0
Anthophora fulvitarsis,33,0,0,9,0,0,20,4,0
Anthophora fulvodimidiata,33,0,0,0,0,0,30,3,0
Anthophora furcata,407,2,1,2,0,7,286,109,0
Anthophora gallica,5,0,0,2,3,0,0,0,0
Anthophora larvata,3,0,0,3,0,0,0,0,0
Anthophora leucophaea,10,0,0,0,0,0,9,1,0
Anthophora mucida,2,0,0,1,0,1,0,0,0
Anthophora nigrovittata,1,0,0,0,0,1,0,0,0
Anthophora plumipes,3597,43,7,4,6,62,2512,963,0
Anthophora plumipes niger,3,0,0,0,0,3,0,0,0
Anthophora pubescens,23,0,0,0,0,7,13,3,0
Anthophora quadrimaculata,168,3,3,2,0,18,105,37,0
Anthophora retusa,87,21,0,2,0,19,34,11,0
Anthophora retusa meridionalis,1,0,0,0,0,1,0,0,0
Anthophora retusa retusa,5,0,0,0,0,5,0,0,0
Anthophora salviae,11,4,0,2,0,5,0,0,0
Anthophora sicheli,1,0,0,1,0,0,0,0,0
Anthophora sp,2,0,0,2,0,0,0,0,0
Apis mellifera,49093,9,0,1,0,55,0,29345,19683
Apis mellifera carnica,32,0,0,0,0,0,20,12,0
Apis mellifera cecropia,2,0,0,0,0,0,0,2,0
Apis mellifera iberiensis,361,0,0,0,0,0,0,361,0
Apis mellifera ligustica,33,0,0,0,0,0,24,9,0
Apis mellifera mellifera,29,0,0,0,0,0,16,13,0
Apis mellifera ruttneri,3,0,0,0,0,0,0,3,0
Apis mellifera siciliana,2,0,0,0,0,0,0,2,0
Biastes brevicornis,17,0,0,1,0,4,10,2,0
Biastes emarginatus,4,0,0,2,0,0,1,1,0
Bombus,21215,0,0,0,3,0,0,0,21212
Bombus alpinus,75,3,0,0,0,0,50,22,0
Bombus argillaceus,892,0,0,0,0,10,653,229,0
Bombus barbutellus,162,0,0,1,0,15,122,24,0
Bombus bohemicus,984,0,0,0,0,17,794,173,0
Bombus brodmannicus,1,1,0,0,0,0,0,0,0
Bombus campestris,1849,5,0,3,0,12,1481,348,0
Bombus confusus,143,12,0,1,0,0,101,29,0
Bombus cryptarum,1179,0,0,1,0,4,1166,8,0
Bombus cullumanus,70,0,0,0,0,0,66,4,0
Bombus distinguendus,336,0,0,4,0,0,280,52,0
Bombus flavidus,1133,0,0,0,0,0,1131,2,0
Bombus gerstaeckeri,36,0,0,1,0,0,27,8,0
Bombus hortorum,4058,14,0,3,0,37,3026,978,0
Bombus hortorum ruderatus,1,0,0,0,0,1,0,0,0
Bombus humilis,2135,9,1,5,1,44,1683,392,0
Bombus humilis humilis,7,0,0,0,0,7,0,0,0
Bombus hypnorum,16026,19,1,4,0,36,10822,5144,0
Bombus inexspectatus,3,0,0,0,0,0,2,1,0
Bombus jonellus,673,1,0,3,0,4,579,86,0
Bombus laesus mocsaryi,11,0,0,0,0,11,0,0,0
Bombus lapidarius,17072,10,0,3,4,73,11271,5711,0
Bombus lapidarius decipiens,19,0,0,0,0,0,0,19,0
Bombus lucorum,2749,14,0,4,0,24,2012,695,0
Bombus lucorum magnus,1,0,0,0,0,1,0,0,0
Bombus magnus,31,0,0,5,0,2,18,6,0
Bombus mendax,27,1,0,0,0,0,19,7,0
Bombus mesomelas,153,0,0,3,3,9,98,40,0
Bombus monticola,405,0,0,1,3,2,309,90,0
Bombus monticola rondoui,3,0,0,0,0,0,0,3,0
Bombus monticola scandinavicus,4,0,0,0,0,0,0,4,0
Bombus mucidus,58,0,0,2,0,0,46,10,0
Bombus muscorum,499,2,4,2,0,5,374,112,0
Bombus norvegicus,15,0,0,0,0,4,9,2,0
Bombus norvegicus sylvestris,2,0,0,0,0,2,0,0,0
Bombus pascuorum,12450,31,5,3,0,92,0,12319,0
Bombus pascuorum dusmeti,2,0,0,0,0,0,0,2,0
Bombus pascuorum floralis,23,0,0,0,0,17,6,0,0
Bombus pascuorum gotlandicus,2,0,0,0,0,0,0,2,0
Bombus pascuorum intermedius,10,0,0,0,0,10,0,0,0
Bombus pascuorum melleofacies,1,0,0,0,0,0,0,1,0
Bombus pascuorum mniorum,84,0,0,0,0,0,0,84,0
Bombus pascuorum moorselensis,35,0,0,0,0,0,0,35,0
Bombus pascuorum olympicus,1,0,0,0,0,0,0,1,0
Bombus pascuorum pallidofacies,1,0,0,0,0,0,0,1,0
Bombus pascuorum siciliensis,1,0,0,0,0,0,0,1,0
Bombus pascuorum smithianus,7,0,0,0,0,0,0,7,0
Bombus pascuorum sparreanus,5,0,0,0,0,0,0,5,0
Bombus perezi,1,0,0,0,0,0,0,1,0
Bombus pomorum,45,5,0,3,0,6,28,3,0
Bombus pratorum,10365,25,1,5,0,49,7423,2862,0
Bombus pyrenaeus,57,0,5,1,0,0,45,6,0
Bombus quadricolor,32,2,0,1,0,0,25,4,0
Bombus renardi,1,0,0,1,0,0,0,0,0
Bombus ruderarius,451,3,0,1,0,0,371,76,0
Bombus ruderatus,947,10,1,1,0,11,795,129,0
Bombus ruderatus corsicola,2,0,0,0,0,2,0,0,0
Bombus rupestris,2541,7,0,5,0,11,1896,622,0
Bombus sicheli,3,0,0,3,0,0,0,0,0
Bombus sichelii,312,0,0,0,0,0,296,16,0
Bombus soroeensis,368,6,0,7,0,0,295,60,0
Bombus soroeensis proteus,89,0,0,0,0,11,64,14,0
Bombus soroeensis soroeensis,23,0,0,0,0,13,10,0,0
Bombus sp,240,0,0,0,0,240,0,0,0
Bombus subterraneus,449,8,0,8,0,0,348,85,0
